trome#2021-03-02#02.png - Time needed: 0.0967s - Config 152: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.1461s - Config 151: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0573s - Config 154: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.3802s - Config 135: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.1367s - Config 153: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0170s - Config 168: Binarization.yannihorne, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.1100s - Config 159: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.3516s - Config 142: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.0227s - Config 169: Binarization.yannihorne, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0369s - Config 170: Binarization.yannihorne, SkewCorrection.hough_transform, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.1933s - Config 161: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0391s - Config 173: Binarization.yannihorne, SkewCorrection.hough_transform, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.1861s - Config 162: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.2749s - Config 150: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.2642s - Config 160: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.0554s - Config 175: Binarization.yannihorne, SkewCorrection.hough_transform, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0150s - Config 176: Binarization.yannihorne, SkewCorrection.topline, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.2703s - Config 158: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.6197s - Config 134: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.0199s - Config 177: Binarization.yannihorne, SkewCorrection.topline, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0374s - Config 178: Binarization.yannihorne, SkewCorrection.topline, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.2312s - Config 165: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.2091s - Config 167: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0304s - Config 181: Binarization.yannihorne, SkewCorrection.topline, NoiseRemoval.laplacian_filter
