prefix,prefix2,augmentation,aa,ht,cv,up,samples,metric,date,eval_accuracy,eval_mean_task_accuracy,eval_macro_f1
test,results,random_swap,False,True,True,True,900,macro_f1,2025-12-16,0.762962962962963,0.7629629629629628,0.5245166983493197
test,results,random_swap,True,False,False,True,1100,accuracy,2025-12-08,0.8193939393939393,0.8193939393939396,0.6135457175637187
test,results,random_swap,True,False,False,True,1100,macro_f1,2025-12-14,0.793939393939394,0.793939393939394,0.6094659735698374
test,results,random_swap,True,False,False,True,900,macro_f1,2025-12-16,0.7881481481481482,0.7881481481481482,0.557138132867262
test,results,random_swap,True,False,True,True,1000,accuracy,2025-12-16,0.7773333333333333,0.7773333333333333,0.5487501620693266
test,results,random_swap,True,False,True,True,1100,accuracy,2025-12-14,0.7915151515151515,0.7915151515151515,0.5643370792236231
test,results,random_swap,True,False,True,True,1100,macro_f1,2025-12-15,0.793939393939394,0.7939393939393938,0.6169569928388412
test,results,random_swap,True,False,True,True,1200,macro_f1,2025-12-17,0.8066666666666666,0.8066666666666666,0.5295552911413741
test,results,random_swap,True,True,False,True,1100,accuracy,2025-12-15,0.806060606060606,0.806060606060606,0.605784437857687
test,results,random_swap,True,True,False,True,1100,macro_f1,2025-12-09,0.7818181818181819,0.7818181818181819,0.5946664898829164
test,results,random_swap,True,True,False,True,1200,accuracy,2025-12-16,0.8,0.8,0.5295064427384404
test,results,random_swap,True,True,True,True,1100,macro_f1,2025-12-17,0.7903030303030303,0.7903030303030303,0.5194588634036157
test,results,random_swap,True,True,True,True,900,accuracy,2025-12-08,0.76,0.76,0.5160717853269261
test,results,random_swap,True,True,True,True,900,macro_f1,2025-12-17,0.7881481481481482,0.7881481481481482,0.5933754325830257
